Link,Text
https://rpp.pe/mundo/estados-unidos/estados-unidos-imputa-a-los-hijos-del-chapo-guzman-en-el-marco-de-una-macrooperacion-contra-el-trafico-de-fentanilo-noticia-1478846,Estados Unidos imputa a los hijos del 'Chapo' Guzmán por tráfico de fentanilo
https://rpp.pe/peru/la-libertad/la-libertad-policia-investiga-presunto-secuestro-y-homicidio-de-un-menor-en-viru-noticia-1478830,La Libertad: Policía investiga presunto secuestro y homicidio de un menor en Virú
https://rpp.pe/cultura/mas-cultura/next-in-fashion-de-netflix-por-que-nos-gustan-tanto-los-realities-de-moda-noticia-1478837,"""Next in Fashion"" de Netflix: ¿por qué nos gustan tanto los realities de moda?"
https://rpp.pe/economia/economia/precio-del-pollo-cuanto-cuesta-en-los-mercados-de-lima-y-arequipa-noticia-1478843,Precio del pollo: ¿Cuánto cuesta en los mercados de Lima y Arequipa?
https://rpp.pe/tv/streaming/te-gusto-succession-cinco-series-parecidas-que-puedes-ver-en-las-plataformas-de-streaming-noticia-1478833,¿Te gustó 'Succession'?: cinco series parecidas que puedes ver en las plataformas de streaming
https://rpp.pe/lima/actualidad/rpp-lanzo-lima-88-alerta-sismo-el-primer-podcast-de-ficcion-noticia-1478835,"RPP lanzó LIMA 8.8: Alerta sismo, el primer podcast de ficción"
https://rpp.pe/peru/desastres-naturales/tragedia-en-huaral-asi-quedo-el-poblado-perla-chaupis-tras-deslizamiento-de-cerro-por-lluvias-constantes-noticia-1478820,Tragedia en Huaral: así quedó el poblado Perla-Chaupis tras deslizamiento de cerro por lluvias constantes
https://rpp.pe/politica/judiciales/corte-superior-de-lima-no-sabemos-si-sergio-tarache-cruzo-la-frontera-a-colombia-de-manera-legal-o-ilegal-noticia-1478816,"Corte Superior de Lima: ""No sabemos si Sergio Tarache cruzó la frontera a Colombia de manera legal o ilegal"""
https://rpp.pe/economia/economia/sbs-anuncia-medidas-contra-dos-cooperativas-de-que-se-trata-noticia-1478834,"SBS anuncia medidas contra dos cooperativas, ¿de qué se trata?"
https://rpp.pe/futbol/descentralizado/liga1-torneo-de-reservas-2023-fecha-de-inicio-con-clubes-de-primera-division-noticia-1478812,Con lineamientos distintos: ¿cuándo empezará el Torneo de Reservas 2023?
https://rpp.pe/musica/internacional/celine-dion-publica-nueva-cancion-tras-dar-a-conocer-su-enfermedad-noticia-1478822,Céline Dion está de regreso y publica nueva canción tras dar a conocer su enfermedad
https://rpp.pe/peru/piura/luvias-en-peru-piura-escolares-caminan-en-medio-de-barro-por-precipitaciones-y-colapso-de-los-desagues-para-llegar-a-su-colegio-noticia-1478811,"Piura: para llegar a su colegio, escolares caminan en medio de barro por lluvias y colapso de los desagües [VIDEO]"
https://rpp.pe/columnistas/ursuladelgado/nuevo-seminario-intermisional-san-jose-de-huancane-en-puno-abre-sus-puertas-a-futuros-sacerdotes-noticia-1478861,Nuevo seminario intermisional San José de Huancané en Puno abre sus puertas a futuros sacerdotes
https://rpp.pe/futbol/futbol-mundial/real-madrid-vinicius-junior-elegido-el-mejor-jugador-vinicius-junior-elegido-el-mejor-jugador-de-real-madrid-el-carino-del-publico-es-muy-importante-noticia-1478819,"Vinicius, elegido el mejor jugador de Real Madrid en marzo: ""El cariño del público es muy importante"""
https://rpp.pe/futbol/descentralizado/rpp-te-lleva-al-estadio-gana-2-entradas-oriente-para-el-partido-municipal-vs-universitario-por-la-liga-1-noticia-1478873,RPP te lleva al estadio: gana 2 entradas oriente para el partido Municipal vs Universitario por la Liga 1
https://rpp.pe/politica/judiciales/juan-carlos-liendo-sobre-presunta-muerte-de-martha-huatay-ninguna-autoridad-peruana-lo-confirma-y-nos-obliga-a-dudar-que-sea-falso-noticia-1478815,"Juan Carlos Liendo sobre presunta muerte de Martha Huatay: ""Ninguna autoridad peruana lo confirma y nos obliga a dudar que sea falso"""
https://rpp.pe/peru/desastres-naturales/huaral-mas-de-70-estudiantes-evacuaron-a-tiempo-tras-deslizamiento-de-cerro-en-atavillos-bajo-noticia-1478813,Pudo ser una tragedia mayor: más de 70 estudiantes evacuaron a tiempo por deslizamiento de cerro en Huaral
https://rpp.pe/videojuegos/juegos/hogwarts-legacy-usuario-se-transforma-en-voldemort-y-elimina-a-la-profesora-weasley-noticia-1478814,Hogwarts Legacy: usuario se transforma en Voldemort y elimina a la Profesora Weasley
